id,graduatingYear,overallScore,curriculum,jobSupport,school_id
277008,2021,5.0,5.0,5.0,11035
276905,2021,5.0,5.0,5.0,11035
276803,2021,4.3,4.0,4.0,11035
276766,2021,4.7,4.0,5.0,11035
276761,2021,4.7,4.0,5.0,11035
276658,2021,4.7,4.0,5.0,11035
276648,2021,4.0,4.0,4.0,11035
276634,2021,4.7,5.0,4.0,11035
276567,2021,3.7,4.0,3.0,11035
276548,2021,5.0,5.0,5.0,11035
276509,2021,4.7,4.0,5.0,11035
276475,2020,4.3,4.0,5.0,11035
276440,2021,5.0,5.0,5.0,11035
276385,2021,5.0,5.0,5.0,11035
276273,2021,4.3,4.0,4.0,11035
276242,2021,4.7,4.0,5.0,11035
276230,2021,4.3,4.0,5.0,11035
276187,2021,4.7,4.0,5.0,11035
276074,2021,4.7,4.0,5.0,11035
275983,2021,4.0,3.0,5.0,11035
275965,2021,4.7,5.0,4.0,11035
275934,2021,5.0,5.0,5.0,11035
275905,2021,4.7,4.0,5.0,11035
275865,2019,4.3,4.0,5.0,11035
